2016-	Doctoral School of Linguistics, Pázmány Péter Catholic University, Faculty of Humanities and Social Sciences
2014-2016	MA in Digital Humanities, Pázmány Péter Catholic University, Faculty of Humanities and Social Sciences
2011-2014	BA in Slavonic (Russian) Studies, Pázmány Péter Catholic University, Faculty of Humanities and Social Sciences
2010-2014	BA in German (Scandinavian) Studies, Eötvös Loránd University, Faculty of Humanities
