2013	<a href="http://www.omikk.bme.hu/collections/phd/Termeszettudomanyi_Kar/2013/Simon_Eszter/ertekezes.pdf">PhD</a>, BME Kognitív Pszichológia Doktori Iskola
2002	Magyar és mûvészettudomány szakos egyetemi diplomák, PTE BTK
