2018-	doktorandusz, ELTE BTK Nyelvtudományi Doktori Iskola, Alkalmazott Nyelvészet Doktori Program 

2014	Terminológia diploma, Károli Gáspár Református Egyetem Bölcsészettudományi Kar

2013	Magyar alapszak diploma, Károli Gáspár Református Egyetem Bölcsészettudományi Kar

2011	Keleti nyelvek és kultúrák (japán szakirány) alapszak diploma, Károli Gáspár Református Egyetem Bölcsészettudományi Kar
