--- 2018
Ferenczi Zsanett, Mittelholcz Iván, Simon Eszter.   Automatic Generation of Wiktionary Entries for Finno-Ugric Minority Languages.  In: Tommi A Pirinen, Michael Riessler, Jack Rueter, Trond Trosterud, Francis M Tyers (eds.): Proceedings of the Fourth International Workshop on Computatinal Linguistics of Uralic Languages. Association for Computational Linguistics, pp. 39-50.   http://www.aclweb.org/anthology/W/W18/W18-0204.pdf
Simon Eszter, Mittelholcz Iván, Ferenczi Zsanett.   Lexikai erőforrások automatikus előállítása kisebbségi finnugor nyelvekre.  In: Vincze Veronika (szerk.): XIV. Magyar Számítógépes Nyelvészeti Konferencia (MSZNY 2018). Szeged: Szegedi Tudományegyetem Informatikai Tanszékcsoport, 2018. pp. 260-271.    http://rgai.inf.u-szeged.hu/project/mszny2018/files/teljesB5.pdf
Zsanett Ferenczi, Iván Mittelholcz, Eszter Simon, Tamás Váradi. Evaluation of Dictionary Creating Methods for Finno-Ugric Minority Languages.   In: Proceedings of the Eleventh International Conference on Language Resources and Evaluation (LREC 2018). European Language Resources Association (ELRA), May 2018. pp. 1989-1994.   http://www.lrec-conf.org/proceedings/lrec2018/pdf/312.pdf
