--- <a target="_blank" href="https://scholar.google.hu/citations?user=SulBMDIAAAAJ&hl=hu&oi=ao">Google Scholar</a>
--- <a target="_blank" href="https://mta.academia.edu/No%C3%A9miVad%C3%A1sz">Academia.edu</a>
--- 2019
Ligeti-Nagy Noémi, Dömötör Andrea, Vadász Noémi.	What does the Nom say? An algorithm for case disambiguation in Hungarian.	The fifth International Workshop on Computational Linguistics for Uralic Languages : Proceedings of the Workshop. 2019, pp. 27-41.	https://www.aclweb.org/anthology/W19-0303
Indig Balázs, Sass Bálint, Simon Eszter, Mittelholcz Iván, Vadász Noémi, Makrai Márton.	One format to rule them all -- The emtsv pipeline for Hungarian.	Proceedings of the 13th Linguistic Annotation Workshop
Association for Computational Linguistics. 2019, pp. 155-165.	https://www.aclweb.org/anthology/W19-4018
Vadász Noémi, Simon Eszter.	Konverterek magyar morfológiai címkekészletek között.	Berend Gábor, Gosztolya Gábor, Vincze Veronika (szerk.): XV. Magyar Számítógépes Nyelvészeti Konferencia (MSZNY 2019). Szeged: Szegedi Tudományegyetem Informatikai Tanszékcsoport, 2019. pp. 99-112.	http://rgai.inf.u-szeged.hu/project/mszny2019/files/mszny2019.pdf
Indig Balázs, Sass Bálint, Simon Eszter, Mittelholcz Iván, Kundráth Péter, Vadász Noémi.	emtsv -- Egy formátum mind felett.	Berend Gábor, Gosztolya Gábor, Vincze Veronika (szerk.): XV. Magyar Számítógépes Nyelvészeti Konferencia (MSZNY 2019). Szeged: Szegedi Tudományegyetem Informatikai Tanszékcsoport, 2019. pp. 235-247.	http://rgai.inf.u-szeged.hu/project/mszny2019/files/mszny2019.pdf
--- 2018
Fellegi Zsófia, Vadász Noémi.	Digitálisbölcsészet-oktatás Magyarországon.	L. Varga Péter, Molnár Gábor Tamás, Palkó Gábor (szerk.) Digitális (szöveg)kultúrák a bölcsészképzésben. Budapest, Magyarország : Eötvös Loránd Tudományegyetem Bölcsészettudományi Kar, (2018) pp. 168-180.
Noémi Vadász, Eszter Simon.	NORMO: An Automatic Normalization Tool for Middle Hungarian.	Andrew U Frank, Christine Ivanovic, Francesco Mambrini, Marco Passarotti, Caroline Sporleder (szerk.): Proceedings of the Second Workshop on Corpus-based Research in the Humanities (CRH-2). Wien: Gerastree, Dept. of Geoinformation, 2018. pp. 227-236.
Vadász Noémi, Simon Eszter.	Normo: Egy automatikus normalizáló eszköz középmagyar szövegekhez.	Vincze Veronika (szerk.): XIV. Magyar Számítógépes Nyelvészeti Konferencia (MSZNY 2018). Szeged: Szegedi Tudományegyetem Informatikai Tanszékcsoport, 2018. pp. 135-145.	http://rgai.inf.u-szeged.hu/project/mszny2018/files/teljesB5.pdf
Vadász Noémi, Kalivoda Ágnes, Indig Balázs.	Egy egységesített magyar igei vonzatkerettár építése és felhasználása.	Vincze Veronika (szerk.): XIV. Magyar Számítógépes Nyelvészeti Konferencia (MSZNY 2018). Szeged: Szegedi Tudományegyetem Informatikai Tanszékcsoport, 2018. pp. 3-15.	http://rgai.inf.u-szeged.hu/project/mszny2018/files/teljesB5.pdf
Ligeti-Nagy Noémi, Vadász Noémi, Dömötör Andrea, Indig Balázs.	Nulla vagy semmi? Esetegyértelmûsítés az ablakban.	Vincze Veronika (szerk.): XIV. Magyar Számítógépes Nyelvészeti Konferencia (MSZNY 2018). Szeged: Szegedi Tudományegyetem Informatikai Tanszékcsoport, 2018. pp. 25-37.	http://rgai.inf.u-szeged.hu/project/mszny2018/files/teljesB5.pdf
Ágnes Kalivoda, Noémi Vadász, Balázs Indig.	Manócska: A Unified Verb Frame Database for Hungarian.	Petr Sojka, Ale&#353; Horák, Ivan Kope&#269;ek, Karel Pala (szerk.): Text, Speech,and Dialogue: 21st International Conference, (TSD 2018). Cham, Springer, 2018. pp. 135-143.
