--- 2018
Dodé Réka, Ludányi Zsófia, Falyuna Nóra, Kuna Ágnes	Poétika és korpusz: Hogyan nyújthat segítséget a korpusznyelvészet poétikus szövegek vizsgálatához?	In: Domonkosi, Ágnes; Simon, Gábor (szerk.)
Nyelv, poétika, kogníció : Elmélet és módszer a poétikai kutatásban
Eger, Magyarország : Líceum Kiadó, (2018) pp. 175-196. , 18 p.	hhttp://real.mtak.hu/90132/1/Dode_et_al_kezirat.pdf
--- 2017
Dodé Réka	Doménspecifikus korpusz építése és validálása	In: Ludányi, Zsófia (szerk.)
Doktoranduszok tanulmányai az alkalmazott nyelvészet körébõl 2017 : XI. Alkalmazott Nyelvészeti Doktoranduszkonferencia
Budapest, Magyarország : MTA Nyelvtudományi Intézet, (2017) pp. 17-27. , 11 p.	http://real.mtak.hu/72353/1/Dode_Reka.pdf
--- 2016
Dodé Réka, Falyuna Nóra	A szakszavak magyarításáról terminológus szemmel	MAGYAR ORVOSI NYELV 16 : 2 pp. 99-100. , 2 p. (2016)	http://orvosinyelv.hu/dlObject.php?msz_id=31&/MONY_2016_02.pdf
--- 2015
Kovács Réka	Az e-nyelvtanulás jelenérõl és jövõjérõl a slovake.eu többnyelvû, szlováknyelv-oktató weboldal tükrében	ECONOMICA (SZOLNOK) 7 : 4 pp. 105-114. , 10 p. (2015)	http://real.mtak.hu/32288/1/Kovacs_Reka_E_nyelvtanulas_Economica_u.pdf
--- 2014
Váradi Tamás, Ludányi Zsófia, Kovács, Réka	Géppel segített helyesírás. A helyesírás.mta.hu készítésérõl: A helyesírás.mta.hu portál készítésérõl	MODERN NYELVOKTATÁS 20 : 1–2 pp. 43-58. , 16 p. (2014)	http://real.mtak.hu/20134/1/varadi_ludanyi_kovacs.pdf
--- 2013
Kovács Réka	Helyesiras.mta.hu	ANYANYELV-PEDAGÓGIA 6 : 3 Paper: 474 (2013)	http://www.anyanyelv-pedagogia.hu/cikkek.php?id=474
Kovács Réka	Rikaichan	MAGYAR TERMINOLÓGIA 6 : 1 pp. 129-132. , 4 p. (2013)	http://real.mtak.hu/8676/1/Kovacs_Reka_MaTerm_Rikaichan-1.pdf
