--- <a target="_blank" href="http://scholar.google.hu/citations?user=rO1PGAIAAAAJ&hl=en">Google Scholar</a>
--- <a target="_blank" href="https://nytud.academia.edu/EszterSimon">Academia.edu</a>
--- 2018
Tommi A. Pirinen, Eszter Simon, Francis F. Tyers, Veronika Vincze (eds).	Proceedings of the Second International Workshop on Computational Linguistics for Uralic Languages. Szeged, 2016. ISBN 978-963-306-504-4		http://rgai.inf.u-szeged.hu/project/iwclul/proceedings.pdf
Eszter Simon, Veronika Vincze.	Universal Morphology for Old Hungarian.	In: Proceedings of the 10th SIGHUM Workshop on Language Technology for Cultural Heritage, Social Sciences, and Humanities. Association for Computational Linguistics, Berlin, 2016. 118-127.	http://www.aclweb.org/anthology/W/W16/W16-2115.pdf
--- 2015
Eszter Simon, Ivett Zs. Benyeda, Péter Koczka, Zsófia Ludányi.	Automatic creation of bilingual dictionaries for Finno-Ugric languages.	In: <em>Proceedings of the First International Workshop on Computational Linguistics for Uralic Languages</em>, Troms&#x00F8;, 2015. pp. 119-131.	http://septentrio.uit.no/index.php/SCS/article/view/3474
Benyeda Ivett, Koczka Péter, Ludányi Zsófia, Simon Eszter, Váradi Tamás.	Finnugor nyelvû közösségek nyelvtechnológiai támogatása online tartalmak létrehozásában.	In: <a href="http://rgai.inf.u-szeged.hu/mszny2015/files/MSZNY2015_press_B5_PQ.pdf">Tanács Attila, Varga Viktor, Vincze Veronika (szerk.): <em>XI. Magyar Számítógépes Nyelvészeti Konferencia</em>, SzTE, Szeged, 2015. p. 133-144.</a>
--- 2014
Júlia Pajzs, Ralf Steinberger, Maud Ehrmann, Mohamed Ebrahim, Leonida Della Rocca, Stefano Bucci, Eszter Simon, Tamás Váradi.	Media monitoring and information extraction for the highly inflected agglutinative language Hungarian.	In: Nicoletta Calzolari, Khalid Choukri, Thierry Declerck, Hrafn Loftsson, Bente Maegaard, Joseph Mariani, Asunción Moreno, Jan Odijk, Stelios Piperidis (szerk.): <em>Proceedings of the Ninth International Conference on Language Resources and Evaluation (LREC-2014)</em>, Reykjavik, Izland, 2014.05.26-2014.05.31. Párizs: ELRA, 2014. pp. 2049-2056.	http://www.lrec-conf.org/proceedings/lrec2014/pdf/449_Paper.pdf
Simon Eszter.	Finnugor nyelvû közösségek támogatása online tartalmak létrehozásában.	In: <em>Édes Anyanyelvünk</em> (ISSN: 0139-0457) <strong>36</strong>(5): 14. (2014)	http://anyanyelvapolo.hu/edes-anyanyelvunk-pdf/ea-2014-XXXVI-5.pdf
Eszter Simon.	Corpus building from Old Hungarian codices.	In: <a href="https://global.oup.com/academic/product/the-evolution-of-functional-left-peripheries-in-hungarian-syntax-9780198709855?cc=in&lang=en">Katalin É. Kiss (ed.): <em>The Evolution of Functional Left Perpiheries in Hungarian Syntax</em></a>. Oxford University Press, 2014.	https://www.academia.edu/29637024/Corpus_building_from_Old_Hungarian_codices
--- 2012
Nemeskey Dávid Márk, Simon Eszter.	Automatikus korpuszépítés tulajdonnév-felismerés céljára.	In: Tanács Attila, Vincze Veronika (szerk.): <em>IX. Magyar Számítógépes Nyelvészeti Konferencia</em>, SzTE, Szeged, 2012. p. 106-117.	http://www.inf.u-szeged.hu/projectdirs/mszny2013/images/stories/kepek/MSZNY2013_press.pdf
Babarczy Anna, Simon Eszter.	A fogalmi metaforák és a szövegstatisztika szerepe a metaforák felismerésében.	In: <em>Általános Nyelvészeti Tanulmányok.</em> <strong>2012</strong>(XXIV): 223-241.	https://www.academia.edu/23271743/A_fogalmi_metafor%C3%A1k_%C3%A9s_a_sz%C3%B6vegstatisztika_szerepe_a_metafor%C3%A1k_felismer%C3%A9s%C3%A9ben
Simon Eszter, Sass Bálint.	Nyelvtechnológia és kulturális örökség, avagy korpuszépítés ómagyar kódexekbõl.	In: <em>Általános Nyelvészeti Tanulmányok.</em> <strong>2012</strong>(XXIV): 243-264.	https://www.academia.edu/29637028/Nyelvtechnol%C3%B3gia_%C3%A9s_kultur%C3%A1lis_%C3%B6r%C3%B6ks%C3%A9g_a-vagy_korpusz%C3%A9p%C3%ADt%C3%A9s_%C3%B3magyar_k%C3%B3dexekb%C5%91l
Simon Eszter, Lendvai Piroska, Németh Géza, Olaszy Gábor, Vicsi Klára.	<em>A magyar nyelv a digitális korban &ndash; The Hungarian Language in the Digital Age.</em>	Georg Rehm and Hans Uszkoreit (Series Editors): META-NET White Paper Series. Springer, 2012.	http://www.meta-net.eu/whitepapers/volumes/hungarian
Eszter Simon, Dávid Márk Nemeskey.	Automatically generated NE tagged corpora for English and Hungarian.	In: Proceedings of the <em>4th Named Entity Workshop (NEWS)</em> 2012. July 2012, Jeju, Korea. Association for Computational Linguistics. pages 38--46.	http://www.aclweb.org/anthology/W12-4405
--- 2011
Simon Eszter, Sass Bálint, Mittelholcz Iván.	Korpuszépítés ómagyar kódexekbõl.	In: Tanács Attila, Vincze Veronika (szerk.): <em>VIII. Magyar Számítógépes Nyelvészeti Konferencia.</em> SzTE, Szeged, 2011., p. 81-89.	http://www.inf.u-szeged.hu/projectdirs/mszny2011/images/stories/kepek/mszny2011_press_nc_b5.pdf
--- 2010
Csaba Oravecz, Bálint Sass, Eszter Simon.	Semi-automatic Normalization of Old Hungarian Codices.	In: <em>Proceedings of the ECAI 2010 Workshop on Language Technology for Cultural Heritage, Social Sciences, and Humanities (LaTeCH 2010).</em> Faculty of Science, University of Lisbon, Lisbon, Portugal, 2010.	http://ilk.uvt.nl/LaTeCH2010/LPF/ws16.pdf
Eszter Simon, András Serény, Anna Babarczy.	Automatic Acquisition of Hungarian Subcategorization Frames.	In: Núria Bel, Béatrice Daille, Andrejs Vasiljevs (eds.): <em>Methods for the automatic acquisition of Language Resources and their evaluation methods.</em> LREC 2010 Workshop. Proceedings. Malta, 2010.	http://www.lrec-conf.org/proceedings/lrec2010/workshops/W19.pdf
