2019-2020	UNKP Bolyai+ scholarship (UNKP-19-4-ELTE-840) - rating: <em>excellent</em>
2017-2020	Bolyai Scholarship, Hungarian Academy of Sciences (BO/00064/17/1) - rating: <em>outstanding</em>
2007-2010	scholarship of the Hiteles Ember Foundation
