2018-	doktorandusz, PPKE Nyelvtudományi Doktori Iskola
2018	Digitális bölcsészet (számítógépes nyelvész) diploma, PPKE Bölcsészettudományi Kar
2016	Germanisztika (skandinavisztika) diploma, ELTE Bölcsészettudományi Kar
