2013	<a href="http://www.omikk.bme.hu/collections/phd/Termeszettudomanyi_Kar/2013/Simon_Eszter/ertekezes.pdf">PhD</a>, Department of Cognitive Sciences, Budapest University of Technologies
2002	MA in Linguistics, Literature and Aesthetics, University of Pécs
