Wolosz Márton: <em>A lengyel igei szerkezetek számítógépes kinyerése és gyakorisági vizsgálatuk,</em> 2013, ELTE IK, MSc
Nagy István Zoltán: <em>A Magyar Országgyûlés plenáris üléseinek annotált korpusza,</em> 2008, PPKE ITK, MSc
