2018	abszolutórium, PPKE Nyelvtudományi Doktori Iskola
2016	digitális bölcsészet mesterszak, számítógépes nyelvészet szakirány, PPKE-BTK
2015	elméleti nyelvészet mesterszak, PPKE-BTK
2013	magyar alapszak, magyar nyelv és kultúra szakirány, PTE-BTK
