2011	<a class="szurke2" target="_blank" href="http://users.itk.ppke.hu/~sass/phd/sass_dolgozat.pdf">PhD</a> <span style="font-size: smaller">[hun]</span>, PPCU Faculty of Information Technology and Bionics, Budapest
2003	MSc, Computer Science, ELTE Faculty of Science, Budapest
2000	BSc, Computer Science, ELTE Faculty of Science, Budapest
