2015-	PhD student, Eötvös Loránd University Faculty of Humanities, Doctoral School of Linguistics, Applied Linguistics
2014	Terminology master, Faculty of Humanities and Social Sciences, Károli Gáspár University of the Reformed Church
2013	Hungarian Studies bachelor, Faculty of Humanities and Social Sciences, Károli Gáspár University of the Reformed Church
2011	Oriental Languages and Cultures, Japanese bachelor, Faculty of Humanities and Social Sciences, Károli Gáspár University of the Reformed Church
